Id,SalePrice
2658,159968.32002334588
2718,187233.65382223882
2414,175727.89413932554
1989,138430.88867426495
625,175498.88338553018
333,104341.71741992596
1327,126393.54284472729
858,147919.92901184782
95,199316.5974980782
1568,151641.56451734973
2482,161215.65508362686
1364,146258.82358772735
2584,161773.68763576483
818,311112.57258835505
2673,157395.24655762088
2089,117311.83899851158
1297,145887.83420182843
790,121970.06148573372
2616,195422.84751332377
720,196775.52810208767
222,134871.25355245938
557,116979.46972570293
1148,205164.72561702225
2766,139001.57074319327
534,200291.54343306448
1452,114599.90353339975
630,141396.39926296234
2648,134815.25503893482
125,145481.91604952505
1904,72386.12647882506
1670,110561.20542182437
756,108107.31236555411
717,268459.6703387508
1032,150010.3984664992
852,223084.11542217695
1731,178256.17760392078
2639,129140.15868282491
2071,82586.7978384286
1267,106186.47086813168
1851,194057.06362427858
567,148103.39506733138
2439,216994.23781314903
1898,150618.96963015484
647,145056.1622164038
2256,211582.38261853048
979,111670.85407131349
1444,214888.62990110088
2485,110420.27388490402
157,147254.51991907027
88,136212.81690013228
2003,113662.64115330661
186,232075.5816405916
1425,274958.36375692306
2695,136847.39542577218
738,101099.42038684047
395,161748.68396988677
1353,171350.86531320115
1878,142432.15936181517
390,163571.1211883494
1456,230855.91509956075
1103,342721.468027905
1387,130727.40131752109
2070,144072.2951630291
1199,191852.08346157768
2479,168730.78887528385
501,352962.89153840113
2362,94126.3323825048
1718,200154.77213853446
2188,92604.00093261756
1483,141809.65975071336
2557,90812.1430499733
437,327487.93358878663
2224,193060.63712077274
1628,157196.7898117088
397,123972.14631372679
587,207488.57075954907
971,123777.80510354717
2611,156971.59941245994
1887,89307.33260449467
2399,345052.5885490045
2148,213290.73189283418
304,135900.40931921144
1997,138506.52941336675
2817,130789.23167777705
1431,175606.19334165534
427,373973.5567851111
263,117848.22291506814
598,157495.8804654394
2895,244662.33952176862
687,165904.59205999228
1822,130727.43604872252
2191,122598.58107090264
179,145019.68631296
1009,199149.04707990706
2010,130934.75643032358
1991,132757.85796696678
1411,148422.9766544659
1721,250931.06215215247
1144,184723.17537841803
593,218118.33326897264
575,268182.3149013088
1249,175660.8537119157
1604,121041.57721087607
1064,505385.9896844863
1923,145286.14879457332
1988,109777.6446801679
2325,165031.50259642184
114,197944.1043614736
2700,198088.52702044602
217,127840.66139846556
343,175599.3736984503
386,250538.99820949679
2005,121806.95365744745
2908,129082.18987038259
1814,211568.85107084247
2446,569324.4320828636
208,151760.49528336487
1679,120645.12136354303
822,325505.34023408685
6,182851.51253532886
1781,419363.6703930716
2397,291624.4188379301
2340,300921.4669054452
1618,166207.01295695888
2843,135045.30991789143
1061,373332.4606367445
2786,119708.63535932594
1935,132923.03057899245
1341,133665.46441641427
521,292844.0310762853
2136,118519.9648322351
996,185306.07805658976
227,127548.23068948183
135,156969.47186122148
1167,166461.47569208985
294,224683.59842290383
1776,198158.20392188118
540,180916.3459801193
1717,200154.77213853446
2303,129929.3457157845
116,191779.0112774618
127,137156.85093031178
1371,145717.80604388547
1014,168898.13825522864
1507,87262.19406417425
702,146821.4302957699
750,168186.39479531354
261,151317.4357699985
1559,87924.19522929749
577,234307.22231855447
2812,204107.42743795257
2080,150872.73093941796
1368,125599.88215809129
2376,115826.1987513757
659,121435.87774808056
1235,118733.87078804779
332,93255.61739447674
1917,151147.22339017238
2094,249768.15259459926
1460,304654.98948849225
1471,204262.18007029733
1509,128584.55226873566
1922,136078.13861386842
433,507534.8525175698
460,264053.0001354959
1116,272588.8335738428
1137,165920.697282735
53,179573.17492011105
2354,255795.10079781516
1475,201529.42396384032
1761,632692.6400622411
842,135649.78667660773
2739,173109.84275764134
2509,154214.35169929045
1007,205651.8617717212
2610,174427.24069544915
1952,94303.94983022854
2719,181980.3637157559
2921,99987.23173692997
1966,139078.98615855243
292,113897.19890363763
1204,194487.94147886208
1829,234200.4835473482
2419,186693.21409587382
391,155169.50366185725
798,116416.27514618894
481,185348.96482148208
193,205609.70356573866
555,119214.56977332429
899,79786.35960269306
2357,186600.22175811278
328,125391.39088829634
1356,146231.29856020515
1154,109417.64116535822
1730,170591.1856331124
2249,140510.5793320986
1119,273164.0486004744
2856,125382.23062387375
1394,142058.92418418036
2587,107831.93965210108
61,351727.7308990896
2661,218238.7338360439
2711,128144.73679556049
1147,182146.0470565976
757,143137.33274975407
2623,85459.37904639263
2378,158065.81755839253
1413,137362.33432888935
1722,222607.49291880932
1112,214991.4928500668
1623,189464.0616233095
1201,178664.48741030527
1513,131571.44917674336
957,248304.148233133
1171,262130.99256293965
1145,203645.79758048683
2726,232130.2372416271
703,151628.8220304634
760,82884.69822509831
1964,141759.35097004587
2512,173397.7546752527
159,161079.88372390246
1281,161678.57541653782
468,171344.44110967533
290,118322.76352658907
665,118191.88750344969
1463,277475.454357709
1792,227454.05104060422
923,137234.32285499532
500,309602.8472191622
1408,162659.47959313978
331,90643.28722463075
170,155470.55241757276
2192,95450.79986305772
2571,342382.8497814288
2314,164319.93802244752
2647,101529.75008886325
422,428276.51374820556
2457,370166.2652700455
1838,197627.25185420483
2805,254110.98808230273
1645,160321.53131387662
1711,312154.7306999701
2825,261033.6264183345
322,350605.764774872
2103,286722.00216365827
342,123442.01935461455
600,101536.31812518286
488,197926.34261818294
1725,324296.6990301459
2246,263184.4947352404
2847,163748.937999733
806,246265.1695391553
530,241396.24851143884
963,171658.99055829647
2678,86761.74910973446
171,101850.40379805901
2401,438236.3188616503
805,215244.54580885323
2259,171479.36954375947
1748,162259.97350101275
1361,134080.70098709338
1677,125213.7773266538
1406,144895.16188883135
2322,217450.29482827405
688,156947.14078631942
143,147192.9704602253
804,187746.53184211274
1214,167555.3397990405
2828,149998.3576758077
1999,206449.90884006373
2467,193198.2452922637
2665,159627.23363777727
1538,350744.9333961166
398,105951.65986892654
2822,135174.7303419421
2157,145491.9974230692
1856,166723.60415185534
1269,85854.59723730446
2570,118089.15983330201
2320,250716.61992469375
1517,132568.71703371446
2304,112950.505530539
1312,117506.11293672805
2012,126291.2894708925
506,216524.13590993755
2865,175589.22899199967
2367,106137.03657739871
554,109571.82115611563
238,128745.6689472009
1954,110180.25608860028
2488,141092.15311730665
2291,102511.24523759844
1969,93418.9435434213
2725,155159.7772091616
1482,141809.65975071336
2763,203940.86157524987
503,250144.6101065279
1584,237942.7417503649
1531,147410.29417861797
2210,169378.46767592503
459,335902.1843372241
556,125249.78712091703
1347,152743.2197108523
1290,93669.86590344066
1388,104186.66060118732
1571,176202.62601748086
2754,198059.0946543089
765,124261.60538959445
2494,121710.88120908146
2870,182561.15521426778
7,223792.69829073554
1114,228918.68125646497
2418,297631.3488169961
291,141520.9970673153
18,367002.5492030233
39,351444.6668312608
1001,277684.5012682013
2442,251127.0192722393
616,112047.39951337673
2680,73772.14047583728
1414,118585.31891523715
289,138279.8683987797
40,272049.0597696332
860,123954.68542124511
409,134567.10615233288
673,157075.25152011737
2427,179343.35874744094
2036,217710.3237586028
2564,132156.68276821877
642,225166.69041637165
1008,183928.72726483806
1908,149107.27842079298
2519,216546.53516151741
1369,111273.39900706481
2855,149614.2633290664
712,90105.9152630901
1943,124579.79585807363
1958,128477.41905167483
107,161730.09268899795
2295,185933.5105336625
704,104353.74863381473
676,115154.9608427638
259,182088.7903379849
93,293913.0726354569
106,235344.47910799098
2315,187541.51850582013
1050,116970.43739229061
